,arrival_date,revenue,year,month,month_day,tm_yday
2015-10-21,2015-10-21,15542.3085895526,2015,10,21,294
2015-10-22,2015-10-22,17380.8450381249,2015,10,22,295
2015-10-23,2015-10-23,21025.323553372655,2015,10,23,296
2015-10-24,2015-10-24,17515.964343783948,2015,10,24,297
2015-10-25,2015-10-25,42398.765577082,2015,10,25,298
2015-10-26,2015-10-26,16775.03445301138,2015,10,26,299
2015-10-27,2015-10-27,7235.040152695805,2015,10,27,300
2015-10-28,2015-10-28,28877.186461243968,2015,10,28,301
2015-10-29,2015-10-29,10354.585112746427,2015,10,29,302
2015-10-30,2015-10-30,9708.883835391502,2015,10,30,303
2015-10-31,2015-10-31,13257.65036807644,2015,10,31,304
2015-11-1,2015-11-1,11593.507499333175,2015,11,1,305
2015-11-2,2015-11-2,12553.450886199831,2015,11,2,306
2015-11-3,2015-11-3,8196.69136325106,2015,11,3,307
2015-11-4,2015-11-4,7904.533786787559,2015,11,4,308
2015-11-5,2015-11-5,9720.225487903928,2015,11,5,309
2015-11-6,2015-11-6,15824.930423600636,2015,11,6,310
2015-11-7,2015-11-7,15827.556813831492,2015,11,7,311
2015-11-8,2015-11-8,11859.700079319146,2015,11,8,312
2015-11-9,2015-11-9,8153.508753484562,2015,11,9,313
2015-11-10,2015-11-10,6111.632030674511,2015,11,10,314
2015-11-11,2015-11-11,7011.926693124839,2015,11,11,315
2015-11-12,2015-11-12,6836.8192969796555,2015,11,12,316
2015-11-13,2015-11-13,3824.5493541235587,2015,11,13,317
2015-11-14,2015-11-14,6137.953449244659,2015,11,14,318
2015-11-15,2015-11-15,4501.4617655421425,2015,11,15,319
2015-11-16,2015-11-16,6898.15095491993,2015,11,16,320
2015-11-17,2015-11-17,7497.349887372926,2015,11,17,321
2015-11-18,2015-11-18,26146.872399260414,2015,11,18,322
2015-11-19,2015-11-19,5141.427293799971,2015,11,19,323
2015-11-20,2015-11-20,19546.269101613267,2015,11,20,324
2015-11-21,2015-11-21,7079.294668956931,2015,11,21,325
2015-11-22,2015-11-22,9202.443920406675,2015,11,22,326
2015-11-23,2015-11-23,28219.1321521923,2015,11,23,327
2015-11-24,2015-11-24,7344.8789457261755,2015,11,24,328
2015-11-25,2015-11-25,4079.4936342776446,2015,11,25,329
2015-11-26,2015-11-26,5357.860540476571,2015,11,26,330
2015-11-27,2015-11-27,14635.395526568564,2015,11,27,331
2015-11-28,2015-11-28,4768.00827780232,2015,11,28,332
2015-11-29,2015-11-29,3292.7640640260393,2015,11,29,333
2015-11-30,2015-11-30,6495.086549164252,2015,11,30,334
2015-12-1,2015-12-1,3546.278032580973,2015,12,1,335
2015-12-2,2015-12-2,4658.168658560826,2015,12,2,336
2015-12-3,2015-12-3,8817.46565837568,2015,12,3,337
2015-12-4,2015-12-4,20498.324151540528,2015,12,4,338
2015-12-5,2015-12-5,60522.36150167989,2015,12,5,339
2015-12-6,2015-12-6,8416.906880312306,2015,12,6,340
2015-12-7,2015-12-7,1827.7796889397182,2015,12,7,341
2015-12-8,2015-12-8,2762.6259875237897,2015,12,8,342
2015-12-9,2015-12-9,7247.421477468355,2015,12,9,343
2015-12-10,2015-12-10,4178.473804880114,2015,12,10,344
2015-12-11,2015-12-11,4209.6403149837215,2015,12,11,345
2015-12-12,2015-12-12,5531.74009374486,2015,12,12,346
2015-12-13,2015-12-13,2588.2632303958476,2015,12,13,347
2015-12-14,2015-12-14,3686.7266717852726,2015,12,14,348
2015-12-15,2015-12-15,2248.2075194698523,2015,12,15,349
2015-12-16,2015-12-16,3705.396056041564,2015,12,16,350
2015-12-17,2015-12-17,5761.670287971374,2015,12,17,351
2015-12-18,2015-12-18,5571.879934597282,2015,12,18,352
2015-12-19,2015-12-19,8223.991474483915,2015,12,19,353
2015-12-20,2015-12-20,5363.347749181739,2015,12,20,354
2015-12-21,2015-12-21,5868.386149130676,2015,12,21,355
2015-12-22,2015-12-22,9863.963504462617,2015,12,22,356
2015-12-23,2015-12-23,15923.985148870548,2015,12,23,357
2015-12-24,2015-12-24,9867.919170816465,2015,12,24,358
2015-12-25,2015-12-25,7280.643625492454,2015,12,25,359
2015-12-26,2015-12-26,23167.660317000827,2015,12,26,360
2015-12-27,2015-12-27,24989.321230492857,2015,12,27,361
2015-12-28,2015-12-28,18395.755064405894,2015,12,28,362
2015-12-29,2015-12-29,23682.75802595571,2015,12,29,363
2015-12-30,2015-12-30,60522.35381189843,2015,12,30,364
2015-12-31,2015-12-31,24168.03278012548,2015,12,31,365
2016-1-1,2016-1-1,8082.217711295141,2016,1,1,1
2016-1-2,2016-1-2,29360.982635338274,2016,1,2,2
2016-1-3,2016-1-3,7383.062235857613,2016,1,3,3
2016-1-4,2016-1-4,12574.068684656917,2016,1,4,4
2016-1-5,2016-1-5,3769.538204042921,2016,1,5,5
2016-1-6,2016-1-6,4795.520158924949,2016,1,6,6
2016-1-7,2016-1-7,5884.385213914432,2016,1,7,7
2016-1-8,2016-1-8,7784.05976173498,2016,1,8,8
2016-1-9,2016-1-9,5834.527645605109,2016,1,9,9
2016-1-10,2016-1-10,9842.64912604818,2016,1,10,10
2016-1-11,2016-1-11,4800.540598617526,2016,1,11,11
2016-1-12,2016-1-12,4974.324073441254,2016,1,12,12
2016-1-13,2016-1-13,4082.985539400608,2016,1,13,13
2016-1-14,2016-1-14,7481.715033274493,2016,1,14,14
2016-1-15,2016-1-15,11875.907458051737,2016,1,15,15
2016-1-16,2016-1-16,7140.154910249511,2016,1,16,16
2016-1-17,2016-1-17,4476.761735397908,2016,1,17,17
2016-1-18,2016-1-18,6385.150098159676,2016,1,18,18
2016-1-19,2016-1-19,13854.152831866362,2016,1,19,19
2016-1-20,2016-1-20,5578.534285318301,2016,1,20,20
2016-1-21,2016-1-21,8198.154900478952,2016,1,21,21
2016-1-22,2016-1-22,5887.4977191059415,2016,1,22,22
2016-1-23,2016-1-23,6616.609043173838,2016,1,23,23
2016-1-24,2016-1-24,7372.618406344857,2016,1,24,24
2016-1-25,2016-1-25,8510.782282820235,2016,1,25,25
2016-1-26,2016-1-26,183.35630398510577,2016,1,26,26
2016-1-27,2016-1-27,7871.115192404705,2016,1,27,27
2016-1-28,2016-1-28,8984.607765529941,2016,1,28,28
2016-1-29,2016-1-29,10136.212971949979,2016,1,29,29
2016-1-30,2016-1-30,7264.573008156426,2016,1,30,30
2016-1-31,2016-1-31,6734.219554012429,2016,1,31,31
2016-2-1,2016-2-1,6877.177222628982,2016,2,1,32
2016-2-2,2016-2-2,4126.050150437042,2016,2,2,33
2016-2-3,2016-2-3,10734.189581862795,2016,2,3,34
2016-2-4,2016-2-4,12127.80242870189,2016,2,4,35
2016-2-5,2016-2-5,17446.035155888007,2016,2,5,36
2016-2-6,2016-2-6,35423.08197714278,2016,2,6,37
2016-2-7,2016-2-7,23430.707328724275,2016,2,7,38
2016-2-8,2016-2-8,15351.88865908626,2016,2,8,39
2016-2-9,2016-2-9,6948.87450014659,2016,2,9,40
2016-2-10,2016-2-10,9645.050296638357,2016,2,10,41
2016-2-11,2016-2-11,13502.476365685472,2016,2,11,42
2016-2-12,2016-2-12,24591.98551817009,2016,2,12,43
2016-2-13,2016-2-13,23468.65833745672,2016,2,13,44
2016-2-14,2016-2-14,23006.356115539205,2016,2,14,45
2016-2-15,2016-2-15,12519.39547852639,2016,2,15,46
2016-2-16,2016-2-16,8522.58042981035,2016,2,16,47
2016-2-17,2016-2-17,9681.439417787264,2016,2,17,48
2016-2-18,2016-2-18,13310.944901465376,2016,2,18,49
2016-2-19,2016-2-19,21527.372758391983,2016,2,19,50
2016-2-20,2016-2-20,16864.99622566309,2016,2,20,51
2016-2-21,2016-2-21,14076.498355885262,2016,2,21,52
2016-2-22,2016-2-22,18475.385342234076,2016,2,22,53
2016-2-23,2016-2-23,10595.111930051684,2016,2,23,54
2016-2-24,2016-2-24,10961.176402213305,2016,2,24,55
2016-2-25,2016-2-25,11274.212808948274,2016,2,25,56
2016-2-26,2016-2-26,18015.276186722003,2016,2,26,57
2016-2-27,2016-2-27,33115.76342991049,2016,2,27,58
2016-2-28,2016-2-28,18918.27923894796,2016,2,28,59
2016-2-29,2016-2-29,12503.195631084442,2016,2,29,60
2016-3-1,2016-3-1,15605.475322801069,2016,3,1,61
2016-3-2,2016-3-2,15396.037452706505,2016,3,2,62
2016-3-3,2016-3-3,17126.264468662106,2016,3,3,63
2016-3-4,2016-3-4,20753.14847472616,2016,3,4,64
2016-3-5,2016-3-5,21224.729451188028,2016,3,5,65
2016-3-6,2016-3-6,14477.736479929925,2016,3,6,66
2016-3-7,2016-3-7,27918.227647791307,2016,3,7,67
2016-3-8,2016-3-8,12933.178873005429,2016,3,8,68
2016-3-9,2016-3-9,20812.77377156798,2016,3,9,69
2016-3-10,2016-3-10,18019.394490345116,2016,3,10,70
2016-3-11,2016-3-11,22310.736293608887,2016,3,11,71
2016-3-12,2016-3-12,20779.106428252322,2016,3,12,72
2016-3-13,2016-3-13,22813.95182816063,2016,3,13,73
2016-3-14,2016-3-14,20977.58161943579,2016,3,14,74
2016-3-15,2016-3-15,14815.152714135922,2016,3,15,75
2016-3-16,2016-3-16,12040.781487213619,2016,3,16,76
2016-3-17,2016-3-17,22815.94007142664,2016,3,17,77
2016-3-18,2016-3-18,22033.156908472127,2016,3,18,78
2016-3-19,2016-3-19,33203.11838130423,2016,3,19,79
2016-3-20,2016-3-20,38359.11258135654,2016,3,20,80
2016-3-21,2016-3-21,27353.52570639209,2016,3,21,81
2016-3-22,2016-3-22,16840.100965219513,2016,3,22,82
2016-3-23,2016-3-23,21468.33175534179,2016,3,23,83
2016-3-24,2016-3-24,44161.47507886571,2016,3,24,84
2016-3-25,2016-3-25,27994.407371051977,2016,3,25,85
2016-3-26,2016-3-26,19202.256082897053,2016,3,26,86
2016-3-27,2016-3-27,19889.35952393114,2016,3,27,87
2016-3-28,2016-3-28,36691.854295807236,2016,3,28,88
2016-3-29,2016-3-29,19754.217950068127,2016,3,29,89
2016-3-30,2016-3-30,18399.287915752437,2016,3,30,90
2016-3-31,2016-3-31,30680.79408827765,2016,3,31,91
2016-4-1,2016-4-1,19845.658790669837,2016,4,1,92
2016-4-2,2016-4-2,20619.72134717095,2016,4,2,93
2016-4-3,2016-4-3,22786.908069644323,2016,4,3,94
2016-4-4,2016-4-4,31917.62893784108,2016,4,4,95
2016-4-5,2016-4-5,15332.623302161057,2016,4,5,96
2016-4-6,2016-4-6,23719.353369803684,2016,4,6,97
2016-4-7,2016-4-7,23743.73451262833,2016,4,7,98
2016-4-8,2016-4-8,27984.93777273512,2016,4,8,99
2016-4-9,2016-4-9,34522.336461271065,2016,4,9,100
2016-4-10,2016-4-10,24636.782611758234,2016,4,10,101
2016-4-11,2016-4-11,36944.69493157044,2016,4,11,102
2016-4-12,2016-4-12,20053.31038540229,2016,4,12,103
2016-4-13,2016-4-13,21290.38338359449,2016,4,13,104
2016-4-14,2016-4-14,18935.84792850986,2016,4,14,105
2016-4-15,2016-4-15,24024.44233693846,2016,4,15,106
2016-4-16,2016-4-16,31472.354269128344,2016,4,16,107
2016-4-17,2016-4-17,33020.11509359412,2016,4,17,108
2016-4-18,2016-4-18,38037.87972109188,2016,4,18,109
2016-4-19,2016-4-19,17398.902701235773,2016,4,19,110
2016-4-20,2016-4-20,25632.979446358142,2016,4,20,111
2016-4-21,2016-4-21,23964.33999568343,2016,4,21,112
2016-4-22,2016-4-22,30391.529822107666,2016,4,22,113
2016-4-23,2016-4-23,36415.41821410625,2016,4,23,114
2016-4-24,2016-4-24,25641.444102826357,2016,4,24,115
2016-4-25,2016-4-25,26373.159571653017,2016,4,25,116
2016-4-26,2016-4-26,26015.91569998026,2016,4,26,117
2016-4-27,2016-4-27,24572.311326924424,2016,4,27,118
2016-4-28,2016-4-28,34591.317080274224,2016,4,28,119
2016-4-29,2016-4-29,37647.60891088676,2016,4,29,120
2016-4-30,2016-4-30,37398.66989473768,2016,4,30,121
2016-5-1,2016-5-1,20494.48430486869,2016,5,1,122
2016-5-2,2016-5-2,44806.4799471254,2016,5,2,123
2016-5-3,2016-5-3,16134.415751442139,2016,5,3,124
2016-5-4,2016-5-4,22156.053490224316,2016,5,4,125
2016-5-5,2016-5-5,36749.09484445087,2016,5,5,126
2016-5-6,2016-5-6,23079.24046263352,2016,5,6,127
2016-5-7,2016-5-7,29138.87279047353,2016,5,7,128
2016-5-8,2016-5-8,30539.216441965116,2016,5,8,129
2016-5-9,2016-5-9,44381.68445115839,2016,5,9,130
2016-5-10,2016-5-10,23128.41275088531,2016,5,10,131
2016-5-11,2016-5-11,26352.02413615684,2016,5,11,132
2016-5-12,2016-5-12,29482.554522013306,2016,5,12,133
2016-5-13,2016-5-13,30607.461442436244,2016,5,13,134
2016-5-14,2016-5-14,24011.44229371023,2016,5,14,135
2016-5-15,2016-5-15,41701.81671040391,2016,5,15,136
2016-5-16,2016-5-16,32640.976404454923,2016,5,16,137
2016-5-17,2016-5-17,29047.246131137756,2016,5,17,138
2016-5-18,2016-5-18,20081.375657443907,2016,5,18,139
2016-5-19,2016-5-19,40675.17297414791,2016,5,19,140
2016-5-20,2016-5-20,21962.735897340048,2016,5,20,141
2016-5-21,2016-5-21,37747.709593520325,2016,5,21,142
2016-5-22,2016-5-22,33970.49092599923,2016,5,22,143
2016-5-23,2016-5-23,24489.528489187054,2016,5,23,144
2016-5-24,2016-5-24,18894.85911439804,2016,5,24,145
2016-5-25,2016-5-25,20621.137748439607,2016,5,25,146
2016-5-26,2016-5-26,47164.462180398215,2016,5,26,147
2016-5-27,2016-5-27,13792.305744531357,2016,5,27,148
2016-5-28,2016-5-28,15116.632283012925,2016,5,28,149
2016-5-29,2016-5-29,49260.37998385796,2016,5,29,150
2016-5-30,2016-5-30,41758.606896866,2016,5,30,151
2016-5-31,2016-5-31,28386.36093249795,2016,5,31,152
2016-6-1,2016-6-1,29039.02927174068,2016,6,1,153
2016-6-2,2016-6-2,37576.828094674216,2016,6,2,154
2016-6-3,2016-6-3,31705.037178507228,2016,6,3,155
2016-6-4,2016-6-4,26558.95650198623,2016,6,4,156
2016-6-5,2016-6-5,20781.238359304753,2016,6,5,157
2016-6-6,2016-6-6,59170.41287249734,2016,6,6,158
2016-6-7,2016-6-7,19815.344955739365,2016,6,7,159
2016-6-8,2016-6-8,19116.880398663736,2016,6,8,160
2016-6-9,2016-6-9,33583.552004998586,2016,6,9,161
2016-6-10,2016-6-10,40900.12747308997,2016,6,10,162
2016-6-11,2016-6-11,28348.131846319826,2016,6,11,163
2016-6-12,2016-6-12,40768.4198632126,2016,6,12,164
2016-6-13,2016-6-13,30249.235703112892,2016,6,13,165
2016-6-14,2016-6-14,20541.821530467554,2016,6,14,166
2016-6-15,2016-6-15,34144.73844711568,2016,6,15,167
2016-6-16,2016-6-16,33127.56876555082,2016,6,16,168
2016-6-17,2016-6-17,46596.977412305634,2016,6,17,169
2016-6-18,2016-6-18,28062.494725998564,2016,6,18,170
2016-6-19,2016-6-19,36630.72209201356,2016,6,19,171
2016-6-20,2016-6-20,32796.95575601754,2016,6,20,172
2016-6-21,2016-6-21,28655.60504800503,2016,6,21,173
2016-6-22,2016-6-22,20007.362398111112,2016,6,22,174
2016-6-23,2016-6-23,14796.335742824089,2016,6,23,175
2016-6-24,2016-6-24,38962.588650997925,2016,6,24,176
2016-6-25,2016-6-25,23402.680433294085,2016,6,25,177
2016-6-26,2016-6-26,63085.079255785604,2016,6,26,178
2016-6-27,2016-6-27,34225.58410620247,2016,6,27,179
2016-6-28,2016-6-28,34670.94986889849,2016,6,28,180
2016-6-29,2016-6-29,20237.308264851355,2016,6,29,181
2016-6-30,2016-6-30,35896.266549269385,2016,6,30,182
2016-7-1,2016-7-1,33276.384517426886,2016,7,1,183
2016-7-2,2016-7-2,35420.18378698172,2016,7,2,184
2016-7-3,2016-7-3,42951.07484040766,2016,7,3,185
2016-7-4,2016-7-4,47127.81569371267,2016,7,4,186
2016-7-5,2016-7-5,41711.67126402919,2016,7,5,187
2016-7-6,2016-7-6,36275.05162232439,2016,7,6,188
2016-7-7,2016-7-7,31621.4523072908,2016,7,7,189
2016-7-8,2016-7-8,37415.63420156754,2016,7,8,190
2016-7-9,2016-7-9,43884.85516305048,2016,7,9,191
2016-7-10,2016-7-10,47762.203310408586,2016,7,10,192
2016-7-11,2016-7-11,50249.683581121935,2016,7,11,193
2016-7-12,2016-7-12,29318.518279112763,2016,7,12,194
2016-7-13,2016-7-13,41838.69052375256,2016,7,13,195
2016-7-14,2016-7-14,38863.263563639026,2016,7,14,196
2016-7-15,2016-7-15,39752.10068619585,2016,7,15,197
2016-7-16,2016-7-16,55765.12459056277,2016,7,16,198
2016-7-17,2016-7-17,54720.71004917371,2016,7,17,199
2016-7-18,2016-7-18,65801.24698803102,2016,7,18,200
2016-7-19,2016-7-19,33837.04486006006,2016,7,19,201
2016-7-20,2016-7-20,29135.98918435823,2016,7,20,202
2016-7-21,2016-7-21,51280.03104924243,2016,7,21,203
2016-7-22,2016-7-22,33089.840525637606,2016,7,22,204
2016-7-23,2016-7-23,65968.69512574945,2016,7,23,205
2016-7-24,2016-7-24,48443.958484593575,2016,7,24,206
2016-7-25,2016-7-25,59790.77136037836,2016,7,25,207
2016-7-26,2016-7-26,32405.405484296236,2016,7,26,208
2016-7-27,2016-7-27,35857.733669802925,2016,7,27,209
2016-7-28,2016-7-28,39785.55137784386,2016,7,28,210
2016-7-29,2016-7-29,37443.90433921855,2016,7,29,211
2016-7-30,2016-7-30,60554.66515735416,2016,7,30,212
2016-7-31,2016-7-31,50009.79459197348,2016,7,31,213
2016-8-1,2016-8-1,88521.30041624818,2016,8,1,214
2016-8-2,2016-8-2,46023.500737212555,2016,8,2,215
2016-8-3,2016-8-3,50111.32642203855,2016,8,3,216
2016-8-4,2016-8-4,56537.498450608255,2016,8,4,217
2016-8-5,2016-8-5,43755.222310122525,2016,8,5,218
2016-8-6,2016-8-6,56693.17933629307,2016,8,6,219
2016-8-7,2016-8-7,49934.0087966217,2016,8,7,220
2016-8-8,2016-8-8,83757.13737487659,2016,8,8,221
2016-8-9,2016-8-9,41222.67350731771,2016,8,9,222
2016-8-10,2016-8-10,36811.82655814691,2016,8,10,223
2016-8-11,2016-8-11,50600.723079302705,2016,8,11,224
2016-8-12,2016-8-12,52688.543973385305,2016,8,12,225
2016-8-13,2016-8-13,66609.72025264622,2016,8,13,226
2016-8-14,2016-8-14,58105.25878270164,2016,8,14,227
2016-8-15,2016-8-15,69668.52278220604,2016,8,15,228
2016-8-16,2016-8-16,58244.11570063199,2016,8,16,229
2016-8-17,2016-8-17,41981.85053651184,2016,8,17,230
2016-8-18,2016-8-18,48591.875657231685,2016,8,18,231
2016-8-19,2016-8-19,43181.092146727184,2016,8,19,232
2016-8-20,2016-8-20,69174.37261438633,2016,8,20,233
2016-8-21,2016-8-21,59493.187364233534,2016,8,21,234
2016-8-22,2016-8-22,78092.05230779441,2016,8,22,235
2016-8-23,2016-8-23,38632.44345251667,2016,8,23,236
2016-8-24,2016-8-24,36760.99628783586,2016,8,24,237
2016-8-25,2016-8-25,35495.87042132875,2016,8,25,238
2016-8-26,2016-8-26,48144.31944699635,2016,8,26,239
2016-8-27,2016-8-27,46771.68773658387,2016,8,27,240
2016-8-28,2016-8-28,63238.50773359512,2016,8,28,241
2016-8-29,2016-8-29,45194.47118940294,2016,8,29,242
2016-8-30,2016-8-30,27262.49559893367,2016,8,30,243
2016-8-31,2016-8-31,33541.22684145355,2016,8,31,244
2016-9-1,2016-9-1,48266.04180456776,2016,9,1,245
2016-9-2,2016-9-2,39984.69387868113,2016,9,2,246
2016-9-3,2016-9-3,43775.32045148864,2016,9,3,247
2016-9-4,2016-9-4,37552.678371888374,2016,9,4,248
2016-9-5,2016-9-5,61457.08947251186,2016,9,5,249
2016-9-6,2016-9-6,32725.00740727894,2016,9,6,250
2016-9-7,2016-9-7,21800.11831297668,2016,9,7,251
2016-9-8,2016-9-8,33611.0832222916,2016,9,8,252
2016-9-9,2016-9-9,33722.17282671518,2016,9,9,253
2016-9-10,2016-9-10,35875.23303994795,2016,9,10,254
2016-9-11,2016-9-11,43418.18381584308,2016,9,11,255
2016-9-12,2016-9-12,33703.04033585939,2016,9,12,256
2016-9-13,2016-9-13,39151.65587714378,2016,9,13,257
2016-9-14,2016-9-14,22769.312996671808,2016,9,14,258
2016-9-15,2016-9-15,40922.64304291537,2016,9,15,259
2016-9-16,2016-9-16,36410.60699484591,2016,9,16,260
2016-9-17,2016-9-17,32626.47394550345,2016,9,17,261
2016-9-18,2016-9-18,42876.36579656299,2016,9,18,262
2016-9-19,2016-9-19,43672.92375477353,2016,9,19,263
2016-9-20,2016-9-20,24706.90665436836,2016,9,20,264
2016-9-21,2016-9-21,30378.36233936085,2016,9,21,265
